"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITC3","Liguria","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",66,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",209414,,
"ITE3","Marche","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",4157,,
"ITC1","Piemonte","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","VOC_OTH","altri istituti professionali","2019","2019",35,,
"ITE3","Marche","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",366,,
"ITF","Sud","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",121,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",1475,,
"ITE4","Lazio","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ART","istituto d arte","2019","2019",16,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SCI","liceo scientifico","2019","2019",4938,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",790,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","STA","statale","SUR","istituto tecnico per geometri","2019","2019",998,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",1955,,
"ITE4","Lazio","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",35306,,
"ITE3","Marche","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",3,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","LIN","liceo linguistico","2019","2019",80,,
"ITD4","Friuli-Venezia Giulia","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",10,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",12,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",10,,
"ITC","Nord-ovest","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","CLA","liceo classico","2019","2019",197,,
"ITE3","Marche","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","INDU","istituto tecnico industriale","2019","2019",7043,,
"ITF","Sud","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","STA","statale","SCI","liceo scientifico","2019","2019",1191,,
"ITE2","Umbria","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",308,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",1,,
"ITF","Sud","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ARTI","liceo artistico","2019","2019",45,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1336,,
"ITE","Centro","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",48748,,
"ITF2","Molise","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COMM","istituto tecnico commerciale","2019","2019",1605,,
"ITE2","Umbria","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","COM","istituto professionale per i servizi commerciali","2019","2019",55,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",27,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",4907,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",743,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","SUR","istituto tecnico per geometri","2019","2019",5,,
"ITDA","Trentino Alto Adige / Südtirol","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","SCI","liceo scientifico","2019","2019",5013,,
"ITD","Nord-est","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",1801,,
"ITD2","Provincia Autonoma Trento","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",523,,
"ITF1","Abruzzo","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","ARTI","liceo artistico","2019","2019",88,,
"ITC1","Piemonte","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ALL","totale","2019","2019",83902,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",448,,
"ITD5","Emilia-Romagna","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","HOT","istituto professionale per i servizi alberghieri e ristorazione","2019","2019",4907,,
"ITE4","Lazio","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","COM","istituto professionale per i servizi commerciali","2019","2019",28,,
"ITD","Nord-est","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",32798,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENR","iscritti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","CLA","liceo classico","2019","2019",214,,
"ITE1","Toscana","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",58,,
"ITE4","Lazio","REPT","ripetenti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",2221,,
"IT","Italia","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","ALL","totale","2019","2019",1308241,,
"ITD","Nord-est","REPT","ripetenti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",51,,
"ITF","Sud","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1933,,
"ITF1","Abruzzo","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",6591,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","TECH","altri istituti tecnici","2019","2019",1105,,
"ITE","Centro","ENR","iscritti ","M","maschi","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",9840,,
"ITE1","Toscana","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",29,,
"ITE4","Lazio","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","ARTI","liceo artistico","2019","2019",21,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",89,,
"ITD","Nord-est","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","TECH","altri istituti tecnici","2019","2019",1073,,
"ITD3","Veneto","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","PUB","pubblica","CLA","liceo classico","2019","2019",19926,,
"ITE2","Umbria","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",242,,
"ITE3","Marche","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","INDU","istituto tecnico industriale","2019","2019",519,,
